Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Dividend yield,From 52w high,Down from 52w high,Up from 52w low,Return over 1year
Ranjeet Mechatr.,541945,,Engineering,50.12,50.12,0,0.67,32.59,126.79,50.06
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2146.05,85978.39,0,0.86,13.81,53.75,50.07
Centenial Surgic,531380,,Healthcare,106.95,39.03,0,0.67,33.16,74.19,50.09
Emami Realty Ltd,533218,EMAMIREAL,Construction,101,382.24,0,0.66,33.62,60.32,50.11
Dai-ichi Karkari,526821,,Chemicals,561.05,417.99,0.7,0.84,15.76,71.76,50.17
Bharat Wire,539799,BHARATWIRE,Steel - Medium / Small,277.35,1887.16,0,0.69,30.99,62.76,50.18
Salguti Industri,526554,,Packaging,39.25,29.59,0,1,0,53.02,50.21
BNR Udyog,530809,,Finance & Investments,63.12,18.94,0,0.62,38.4,79.73,50.24
Umang Dairies,500231,UMANGDAIRY,Food - Processing - Indian,90.58,199.31,0,0.81,19.13,56.04,50.25
Ajooni Biotech,,AJOONI,Food - Processing - Indian,6.1,106.89,0,0.88,11.59,79.41,50.25
Span Divergent,524727,,Miscellaneous,26.56,14.5,0,1,0.11,201.82,50.33
IL&FS Inv.Manag.,511208,IVC,Finance & Investments,11.17,350.78,7.16,0.76,24.27,60.72,50.34
Inter State Oil,530259,,Miscellaneous,40.24,20.07,0,0.69,31.1,70.87,50.35
Narendra Prop.,531416,,Construction,44.4,31.56,2.25,0.64,35.96,120.35,50.37
Khyati Multimed.,531692,,Entertainment / Electronic Media Software,2,2.16,0,1,0,50.38,50.38
Indsil Hydro,522165,,Mining / Minerals / Metals,51.8,143.94,0,0.7,29.95,69.56,50.4
Atul Auto,531795,ATULAUTO,Automobiles - Scooters And 3 - Wheelers,514,1426.36,0,0.74,25.83,58.15,50.41
SwarnsaritaJewel,526365,,Diamond Cutting / Jewellery,25.6,53.44,0,0.6,39.61,45.87,50.43
Galada Finance,538881,,Finance & Investments,15.6,4.68,0,0.85,14.99,59.84,50.46
Sanblue Corp.,521222,,Trading,37.91,18.96,0,0.56,44.25,,50.48
Ravikumar Distll,533294,RKDL,Breweries & Distilleries,21.9,52.56,0,0.74,25.76,107.58,50.51
Akar Auto Indust,530621,,Auto Ancillaries,105.7,114.06,0.47,0.62,37.71,33.8,50.54
Pulz Electronics,,PULZ,Electronics - Consumer,107,116.67,0,0.52,47.72,91.07,50.56
UTL Industries,500426,,Construction,2.7,8.89,0,0.84,15.63,78.81,50.57
Pradeep Metals,513532,,Castings & Forgings,230,397.2,0.88,0.81,19.01,67.64,50.63
Metroglobal,500159,,Trading,144.5,178.23,1.74,0.87,12.69,80.4,50.64
GE Shipping Co,500620,GESHIP,Shipping,1076,15361.8,2.69,0.95,4.69,60.17,50.69
Cigniti Tech.,534758,CIGNITITEC,Computers - Software - Medium / Small,1313.85,3586.8,0.23,0.94,5.75,73.41,50.72
Prec. Wires (I),523539,PRECWIRE,Mining / Minerals / Metals,124.75,2228.8,0.68,0.8,19.8,55.45,50.73
O.P Chains,539116,,Trading,32.64,22.36,0,1,0.24,94.29,50.76
KIFS Financial,535566,,Finance & Investments,156.6,169.43,0.86,0.68,32.1,67.83,50.81
Tokyo Finance,531644,,Finance & Investments,23.1,16.11,0,0.79,21.13,98.11,50.83
Grand Foundry,513343,GFSTEELS,Steel - Medium / Small,9.05,27.54,0,0.82,18.03,50.83,50.83
Jay Bharat Maru.,520066,JAYBARMARU,Auto Ancillaries,101.6,1099.8,0.7,0.71,29.44,50.25,50.86
