date,symbol,% change,price,rsi,volume
29th Aug,AARON,7.78,216.20,24.78,142341
29th Aug,KARURVYSYA,0.848,214.05,23.09,1268407
29th Aug,RAJRATAN,0.793,311.55,21.90,71679
29th Aug,AGARIND,0.784,784.30,20.30,15097
29th Aug,UFLEX,0.418,516.65,23.86,60986
29th Aug,AEROENTER,0.127,86.68,23.31,71801
29th Aug,NIFTYCPSE,0.072,6142,24.72,0
29th Aug,REPCOHOME,0.029,346.80,19.74,160592
29th Aug,SUNCLAY,-0.024,1652.40,23.13,9023
29th Aug,DHAMPURSUG,-0.185,123.99,23.03,67334
29th Aug,CNXPSE,-0.215,9202.45,22.00,0
29th Aug,RPEL,-0.306,569.45,19.02,14619
29th Aug,BHAGCHEM,-0.362,261.55,24.65,63070
29th Aug,TARSONS,-0.399,311.80,20.76,456418
29th Aug,MOPSE,-0.409,92.62,24.13,991
29th Aug,MARKSANS,-0.513,168.60,17.07,1140151
29th Aug,BIRLANU,-0.594,1872.90,20.43,5661
29th Aug,IMPAL,-0.611,992.20,24.88,3852
29th Aug,MARALOVER,-0.617,56.35,20.19,4960
29th Aug,HDFCBANK,-0.647,951.60,5.75,14823813
29th Aug,DREDGECORP,-0.692,588.60,23.81,11897
29th Aug,BAYERCROP,-0.712,5231.50,20.30,20747
29th Aug,FAIRCHEMOR,-0.816,784.35,18.91,3804
29th Aug,PRAJIND,-1.12,391.30,20.71,583179
29th Aug,EQUITASBNK,-1.18,50.27,23.95,4205779
29th Aug,BYKE,-1.20,68.88,21.40,8038
29th Aug,BALKRISIND,-1.27,2289.40,23.94,263321
29th Aug,RECLTD,-1.38,350,22.33,7976387
29th Aug,FIVESTAR,-1.39,545.05,23.77,932926
29th Aug,ADFFOODS,-1.41,206.08,24.33,114721
29th Aug,AAVAS,-1.42,1520.20,23.30,1155976
29th Aug,ETHOSLTD,-1.64,2261.90,22.11,19143
29th Aug,PNBHOUSING,-1.75,753.60,24.81,1227892
29th Aug,ARTEMISMED,-1.86,218.98,23.16,70867
29th Aug,TATAELXSI,-1.95,5234,18.56,201277
29th Aug,RVNL,-1.96,302.60,20.40,4853561
29th Aug,BLUEJET,-2.64,667.85,24.17,651184
29th Aug,GOACARBON,-2.72,433.55,24.73,16348
29th Aug,KILITCH,-2.90,339.30,18.30,26167
29th Aug,AKUMS,-2.92,454.25,24.19,235047
29th Aug,SHAREINDIA,-3.02,145.56,24.16,276014
29th Aug,CMSINFO,-3.44,410.30,24.86,735725
29th Aug,AFFORDABLE,-3.65,270.80,17.31,76502
29th Aug,SAHYADRI,-4.59,236.85,18.50,14737
29th Aug,JITFINFRA,-6.03,254.70,22.56,122204
29th Aug,VPRPL,-6.86,129.04,23.61,3923359
29th Aug,PANAMAPET,-8.88,295.15,15.98,341097
29th Aug,STEELCAS,-80.86,209.70,11.02,196937
